ID,Maxim,Zero-shot-CoT prompt,CoT prompt,Contrastive-CoT prompt
1,quantity,순차적으로 생각해봅시다.,해설: ﻿친구 관계에서 좋은 정도를 나타내고 있다.,잘못된 해설: ﻿좋은 게 좋은 것이라는 의미는 친구 관계 뿐만 아니라 모든 상황에 적용된다.
2,quantity,순차적으로 생각해봅시다.,해설: 마감 기한이 정해져 있는 규칙을 나타내고 있다.,잘못된 해설: 마감 기한이 정해져 있는 규칙을 깨는 것은 문제가 되지 않는다.
3,quantity,순차적으로 생각해봅시다.,해설: 민수와 철수는 다른 인간이다.,잘못된 해설: 민수와 철수는 대등한 인간이다.
4,quantity,순차적으로 생각해봅시다.,해설: 유명하지 않은 가수도 노래를 잘하는 가수이다.,잘못된 해설: 유명하지 않기 때문에 노래를 잘하는 가수가 아니다.
5,quantity,순차적으로 생각해봅시다.,해설: 이전 연인은 지나간 과거일뿐이다.,잘못된 해설: 지나간 과거에 현재까지 얽매여 있다.
6,quantity,순차적으로 생각해봅시다.,해설: 직장은 즐거운 장소가 아니며 힘든 일을 하는 곳이다.,잘못된 해설: 직장에 가는 것이 즐겁고 행복하다.
7,quantity,순차적으로 생각해봅시다.,해설: 영희는 철수가 오든지 안오든지 상관이 없다.,잘못된 해설: 영희는 철수가 오기를 바라고 있다.
8,quantity,순차적으로 생각해봅시다.,해설: 결과는 이기거나 지거나 둘 중 이길 수 있도록 최선을 다해야 한다.,잘못된 해설: 경기에서 이길 가능성이 없다.
9,quantity,순차적으로 생각해봅시다.,해설: 철수가 힘들게 구한 시험 기출 문제이기 때문에 영희가 봐주기를 바랄 것이다.,잘못된 해설: 철수는 힘들게 구한 시험 기출 문제를 영희가 보든지 말든지 상관 없다.
10,quantity,순차적으로 생각해봅시다.,"해설: 모든 사람은 남자 아니면 여자이므로 해당 내용은 정보로 볼 수 없으며, 따라서 철수는 신입사원에 대한 정보가 없다.",잘못된 해설: 철수는 신입사원의 성별이 아닌 다른 정보를 알고 있다.
11,quantity,순차적으로 생각해봅시다.,해설: 아이와 어른은 성숙한 정도를 나타낸다.,잘못된 해설: 영희는 사람을 아이와 어른으로 구분해서 차별한다.
12,quantity,순차적으로 생각해봅시다.,"해설: 시간은 낮이거나 밤이므로 해당 내용은 시간에 대한 정보로 볼 수 없으며, 따라서 영희는 독일 시간에 대한 정보가 없다.",잘못된 해설: 영희는 시간을 구분하지 못한다.
13,quantity,순차적으로 생각해봅시다.,해설: 영희가 배가 고파서 밥을 먹고 싶으면 먹을 것이다.,잘못된 해설: 영희는 밥을 먹지 않을 것이다.
14,quantity,순차적으로 생각해봅시다.,해설: 아이가 죽지 않고 살아있기를 바란다.,잘못된 해설: 아이가 죽었든지 살았든지 상관이 없다.
15,quantity,순차적으로 생각해봅시다.,해설: 그림을 그리려고 시도한다면 그릴 수 있을 것이다.,잘못된 해설: 그림을 매우 오래 열심히 그린다면 그릴 수 있을 것이다.
16,quantity,순차적으로 생각해봅시다.,해설: 직장에서 해고를 당한 어려운 상황에서도 살 수 있을 것이다.,잘못된 해설: 직장에서 해고를 당했기 때문에 살 이유가 없다.
17,quantity,순차적으로 생각해봅시다.,해설: 시험을 망치더라도 개의치 않겠다.,잘못된 해설: 시험을 망치지 않을 것이다.
18,quantity,순차적으로 생각해봅시다.,해설: 사기로 했으면 환불하지 않아야 한다.,잘못된 해설: 사기로 했지만 거래는 무효가 될 수 있다.
19,quantity,순차적으로 생각해봅시다.,해설: 고3은 수험생이기 때문에 힘든 삶을 산다.,잘못된 해설: 고3은 곧 대학에 가기 때문에 전혀 힘들지 않다.
20,quantity,순차적으로 생각해봅시다.,해설: 책에 대한 정보를 전달하지 않겠다.,잘못된 해설: 책에 대해 자세히 알려주겠다.
21,quantity,순차적으로 생각해봅시다.,해설: 이전 연인이 어디에 있어도 상관없다.,잘못된 해설: 이전 연인이 어디에 있는지 궁금하다.
22,quantity,순차적으로 생각해봅시다.,해설: 부당한 대우를 받고 참지 않는 사람이다.,잘못된 해설: 부당한 대우를 받아도 불만이 없는 사람이다.
23,quantity,순차적으로 생각해봅시다.,해설: 인생은 한 번이기 때문에 가고 싶은 유학을 가지 않으면 후회하게 될 것이다.,잘못된 해설: 인생은 한 번이기 때문에 유학을 가면 인생을 망치게 된다.
24,quantity,순차적으로 생각해봅시다.,해설: 철수가 영어 대신 한국어로 말하기를 바란다.,잘못된 해설: 철수가 한국어 대신 영어로 말하기를 바란다.
25,quantity,순차적으로 생각해봅시다.,해설: 현금은 있지만 5만원 짜리로 적은 금액의 붕어빵을 사는 것은 무리이다.,잘못된 해설: 현금이 있기 때문에 붕어빵을 살 수 있다.
26,quantity,순차적으로 생각해봅시다.,해설: 통장에 50만원이 있기 때문에 새로운 은행 상품에 가입할 수 있다.,잘못된 해설: 통장에 50만원이 있으나 새로운 은행 상품에 가입하기는 싫다.
27,quantity,순차적으로 생각해봅시다.,해설: 철수와 영희가 만난 날은 월요일이기 때문에 그 음식점이 문을 열지 않는다.,잘못된 해설: 철수와 영희는 월요일에 만나서 그 음식점에 갈 것이다. 
28,quantity,순차적으로 생각해봅시다.,해설: 철수는 방학에도 학교에 매일 오기 때문에 민수와 점심을 먹을 수 있다.,잘못된 해설: 철수는 방학에 계절학기 수업을 듣지 않기 때문에 점심을 먹지 않을 것이다.
29,quantity,순차적으로 생각해봅시다.,해설: 영희는 행인에게 사례를 했지만 행인이 괜찮다고 거절했다.,잘못된 해설: 영희는 행인에게 사례를 했고 행인은 기꺼이 사례를 받았다.
30,quantity,순차적으로 생각해봅시다.,해설: 철수는 회화를 잘 못해서 미국 호텔에 전화하는 것에 자신이 없다.,잘못된 해설: 철수는 회화를 잘 못하지만 전화를 통해 말하는 것은 자신이 있다.
31,quality,순차적으로 생각해봅시다.,해설: 늦게 온 신입사원에게 빨리 왔다며 핀잔을 주고 있다.,잘못된 해설: 신입사원이 빨리 와서 칭찬을 하고 있다.
32,quality,순차적으로 생각해봅시다.,해설: 커피를 쏟은 철수에게 핀잔을 주고 있다.,잘못된 해설: 커피를 쏟은 것은 잘한 일이다.
33,quality,순차적으로 생각해봅시다.,해설: 접시를 먹을 정도로 음식을 모두 잘 먹었다.,잘못된 해설: 음식 대신에 접시를 먹었다.
34,quality,순차적으로 생각해봅시다.,해설: 커피가 사약만큼 쓰다.,잘못된 해설: 커피가 사약처럼 맛이 좋다.
35,quality,순차적으로 생각해봅시다.,해설: 영희가 남편의 술주정을 참는 것이 대단하다.,잘못된 해설: 영희는 남편의 술주정을 좋아한다.
36,quality,순차적으로 생각해봅시다.,해설: 철수는 바디빌더 대회에 나갈 자격이 부족하다.,잘못된 해설: 철수는 바디빌더 대회장에 갈 수 없다.
37,quality,순차적으로 생각해봅시다.,해설: 강아지는 바이올린을 연주할 수 없지만 철수는 그보다 더 못한다.,잘못된 해설: 영희네 강아지는 바이올린을 훌륭하게 연주한다.
38,quality,순차적으로 생각해봅시다.,해설: 철수가 유명한 배우 장동건과 친구인 것은 영희의 남편이 유명한 배우 공유인 것만큼이나 터무니 없다.,"잘못된 해설: 철수의 친구는 장동건이고, 영희의 남편은 공유이다."
39,quality,순차적으로 생각해봅시다.,해설: 철수는 쓰레기가 많고 관리가 안 된 정원에 핀잔을 주고 있다.,잘못된 해설: 철수에게 정원이 매우 멋져보였다.
40,quality,순차적으로 생각해봅시다.,해설: 담임 선생님은 남학생들이 시끄럽게 떠들고 뛰어다니는 것에 핀잔을 주고 있다.,잘못된 해설: 담임 선생님은 평화로운 반 분위기를 칭찬하고 있다.
41,quality,순차적으로 생각해봅시다.,해설: 친구는 영희가 실수를 떠벌리는 것에 핀잔을 주고 있다.,잘못된 해설: 친구는 영희의 실수를 칭찬하고 있다.
42,quality,순차적으로 생각해봅시다.,"해설: 철수가 편의점만큼이나 컵라면, 과자, 음료수를 많이 샀다.",잘못된 해설: 철수는 편의점 사업을 했다.
43,quality,순차적으로 생각해봅시다.,해설: 달팽이보다 느릴 정도로 영희가 물건을 옮기는 속도가 느리다.,잘못된 해설: 영희는 달팽이와 경쟁하고 있다.
44,quality,순차적으로 생각해봅시다.,해설: 철수는 개미 방구만큼 작은 자극에도 날아갈 정도로 체격이 왜소하다.,잘못된 해설: 철수는 개미 방구를 맞은 적이 있다.
45,quality,순차적으로 생각해봅시다.,해설: 영희는 교수만큼 아는 것이 많다.,잘못된 해설: 영희는 아는 것이 별로 없지만 교수가 되려고 한다.
46,quality,순차적으로 생각해봅시다.,해설: 철수가 본 사람은 비행기와 비교할 수 있을 정도로 달리기가 빠르다.,잘못된 해설: 사람이 비행기보다 빠를 수 없으므로 철수는 거짓말을 하고 있다.
47,quality,순차적으로 생각해봅시다.,해설: 숨 쉴 틈도 없이 바쁘다.,잘못된 해설: 숨을 일부러 참는다.
48,quality,순차적으로 생각해봅시다.,해설: 동물이 사료를 먹는 것처럼 매일 먹는 음식이다.,잘못된 해설: 사료로 만든 시리얼을 먹는다.
49,quality,순차적으로 생각해봅시다.,해설: 이미 가수가 된 것처럼 노래 실력이 훌륭하다.,잘못된 해설: 이미 가수가 되었기 때문에 오디션을 볼 필요가 없다.
50,quality,순차적으로 생각해봅시다.,해설: 전세 낸 듯 자주 온다.,잘못된 해설: 도서관과 전세 계약을 맺었다.
51,quality,순차적으로 생각해봅시다.,해설: 영희는 철수가 도서관에 간 것을 보지 않고도 신기하게 맞췄다.,잘못된 해설: 영희는 귀신이라서 철수의 행동을 간파한다.
52,quality,순차적으로 생각해봅시다.,해설: 잘잘못을 지적하는 것이 마치 판사 같다며 비아냥 대고 있다.,잘못된 해설: 영희에게 판사가 되어 잘잘못을 판단해주기를 부탁하고 있다.
53,quality,순차적으로 생각해봅시다.,해설: 겨드랑이에 땀이 많이 나서 마치 홍수가 난 것 같다.,잘못된 해설: 비를 많이 맞아서 겨드랑이에 홍수가 났다.
54,quality,순차적으로 생각해봅시다.,해설: 샤워실 만큼 밖에 비가 많이 내리고 있다.,잘못된 해설: 샤워실이 밖에 위치해 있다.
55,quality,순차적으로 생각해봅시다.,해설: 발이 세모라면 균형이 잘 잡히지 않아 운동 신경이 좋지 않다는 의미이다.,잘못된 해설: 발 모양이 날카롭다.
56,quality,순차적으로 생각해봅시다.,해설: 손이 열 개나 있는 듯이 일을 잘 처리한다.,잘못된 해설: 손이 열 개라서 일하는데 방해가 된다.
57,quality,순차적으로 생각해봅시다.,해설: 마치 간이 두 개나 있는 것처럼 술을 잘 마시고 해독한다.,잘못된 해설: 술을 해독하는 능력이 떨어져서 간이 두 개가 필요하다.
58,quality,순차적으로 생각해봅시다.,해설: 마치 심장이 두 개가 있는 것처럼 체력이 뛰어나다.,잘못된 해설: 체력이 좋지 않아서 심장이 두 개가 필요하다.
59,quality,순차적으로 생각해봅시다.,해설: 마치 두 번째 인생을 사는 것처럼 어린 아이답지 않게 탱고를 잘 춘다.,잘못된 해설: 춤을 잘 못춰서 두 번째 인생을 살고 있다.
60,quality,순차적으로 생각해봅시다.,해설: 잠을 자지 못할 정도로 해야 할 일이 많다.,잘못된 해설: 잠을 다 잤기 때문에 이제부터 일을 시작한다.
61,relation,순차적으로 생각해봅시다.,해설: 수학 선생님과 전혀 관련 없는 이야기를 하면서 주제를 전환하려고 한다.,잘못된 해설: 수학 선생님 때문에 점심이 맛이 없었다.
62,relation,순차적으로 생각해봅시다.,해설: 공무원들이 퇴근하는 6시와 관련이 있다.,잘못된 해설: 공무원들이 퇴근하는 시간은 예측할 수 없기 때문에 시간에 대한 정보를 알 수 없다.
63,relation,순차적으로 생각해봅시다.,해설: 타코야끼를 살 수 있는 장소로 휴게소를 언급하고 있다.,잘못된 해설: 휴게소 표지판에 타코야끼 그림이 있다.
64,relation,순차적으로 생각해봅시다.,해설: 철수는 기프트 카드가 있기 때문에 커피값을 계산할 것이다.,잘못된 해설: 철수는 기프트 카드를 선물 받았다고 자랑하고 있다.
65,relation,순차적으로 생각해봅시다.,해설: 수학 교수님의 파란색 차가 있기 때문에 교수님이 오셨을 것이다.,잘못된 해설: 수학 교수님은 파란색 차를 좋아한다.
66,relation,순차적으로 생각해봅시다.,해설: 옷을 그만보고 밥을 먹으러 가고 싶다.,잘못된 해설: 배고픔을 참고 옷 쇼핑을 할 것이다.
67,relation,순차적으로 생각해봅시다.,해설: 내일 학회에서 발표하는 일정이 있어서 영화를 보러 가지 못한다.,잘못된 해설: 학회 발표를 마치고 영화를 보러 갈 것이다.
68,relation,순차적으로 생각해봅시다.,해설: 시험을 잘 보지 못해서 속상하기 때문에 혼자 소주를 마시려고 한다.,잘못된 해설: 시험을 잘 봤기 때문에 혼자 소주를 마시려고 한다.
69,relation,순차적으로 생각해봅시다.,해설: 알바 스케줄이 있을지도 모르기 때문에 같이 놀러가지 못할 것 같다.,잘못된 해설: 알바 스케줄이 정해지면 놀러갈 것이다.
70,relation,순차적으로 생각해봅시다.,해설: 술을 마시고 운전하면 안되기 때문에 술을 마실 수 없다.,잘못된 해설: 술을 마시기 위해서 차를 가져왔다.
71,relation,순차적으로 생각해봅시다.,해설: 벤츠를 탈 정도로 부유한 누나에게 돈을 빌려야 한다.,잘못된 해설: 누나가 벤츠를 타기 때문에 돈을 빌려주겠다.
72,relation,순차적으로 생각해봅시다.,해설: 어머니 병원에 가야하기 때문에 대신 출근할 수 없다.,잘못된 해설: 어머니가 퇴원하시면 대신 출근해주겠다.
73,relation,순차적으로 생각해봅시다.,해설: 철수가 비행기표를 예매할 것이기 때문에 영희에게 호텔 예약을 부탁하고 있다.,"잘못된 해설: 철수는 호텔 예약을 할 수 없고, 영희는 호텔 예약을 잘 한다."
74,relation,순차적으로 생각해봅시다.,해설: 커피가 나왔으니 가지고 와달라고 부탁하고 있다.,잘못된 해설: 커피가 나왔다는 정보를 알려주고 있다.
75,relation,순차적으로 생각해봅시다.,해설: 노트북이 냉장고만큼 비싸다.,잘못된 해설: 노트북 대신 냉장고를 살 것이다.
76,relation,순차적으로 생각해봅시다.,해설: 핸드폰이 없기 때문에 번호를 알려줄 수 없다.,잘못된 해설: 핸드폰이 있다면 번호를 알려줄 것이다.
77,relation,순차적으로 생각해봅시다.,해설: 취업에 필요한 토익 시험을 준비하고 있으므로 아직 취업 준비 중인 상태이다.,잘못된 해설: 취업 대신 토익 시험을 준비하고 있다.
78,relation,순차적으로 생각해봅시다.,해설: 고양이 알러지가 있기 때문에 고양이를 맡아주기가 어렵다.,잘못된 해설: 고양이 알러지가 있지만 참을 수 있다.
79,relation,순차적으로 생각해봅시다.,해설: 베트남은 사우나 만큼이나 심하게 더운 곳이므로 휴가를 즐기기에 적합하지 않다.,잘못된 해설: 베트남에서는 사우나를 갈 필요가 없으므로 매우 효율적이다.
80,relation,순차적으로 생각해봅시다.,해설: 종교가 다르기 때문에 기독교에서 요청하는 설문지를 작성할 수 없다.,잘못된 해설: 불교에서 기독교로 종교를 변경하겠다.
81,relation,순차적으로 생각해봅시다.,해설: 귤이 유명한 제주도에 사는 작은 아버지가 보내주셨다.,잘못된 해설: 작은 아버지가 귤을 좋아하지 않아서 보내주셨다.
82,relation,순차적으로 생각해봅시다.,해설: 무릎을 다친 적이 있어서 조깅을 하지 않겠다.,잘못된 해설: 무릎을 다친 적이 있지만 조깅을 즐긴다.
83,relation,순차적으로 생각해봅시다.,해설: 비싼 포르쉐를 구매할 수 있을 정도로 사업을 잘 되고 있다.,잘못된 해설: 포르쉐를 뽑아야 사업을 할 수 있다.
84,relation,순차적으로 생각해봅시다.,해설: 버스를 놓쳐서 제 시간에 약속에 도착할 수 없을 것 같다.,잘못된 해설: 시간이 많아서 버스를 보내주었다.
85,relation,순차적으로 생각해봅시다.,해설: 독일어 전공자이므로 영어 회화 모임에 가지 않을 것이다.,잘못된 해설: 독일어 회화를 할 것이다.
86,relation,순차적으로 생각해봅시다.,해설: 독일에서 살다 온 경험이 있기 때문에 교환학생으로 갈 생각이 없다.,잘못된 해설: 독일에서 살았던 경험이 매우 좋았다.
87,relation,순차적으로 생각해봅시다.,해설: 같이 수영하러 가기 위해 수영복을 찾아봐야겠다.,잘못된 해설: 수영복을 찾는 것이 귀찮기 때문에 수영을 가지 않겠다.
88,relation,순차적으로 생각해봅시다.,해설: 수학을 잘 하기 때문에 수학 시험을 잘 봤다.,잘못된 해설: 수학 점수를 굳이 확인할 필요가 없다.
89,relation,순차적으로 생각해봅시다.,해설: 내일은 출근을 하지 않기 때문에 늦잠을 잘 수 있다.,잘못된 해설: 내일 출근을 하기 싫어서 늦잠을 잘 것이다.
90,relation,순차적으로 생각해봅시다.,해설: 목감기에 걸려서 노래를 할 수 없기 때문에 노래방에 갈 수 없다.,잘못된 해설: 목감기에 걸린 목소리로 노래를 멋지게 부를 것이다.
91,manner,순차적으로 생각해봅시다.,해설: 평소 자신에게 못되게 굴던 직장동료가 혼나고 있어서 기분이 통쾌하다.,잘못된 해설: 평소 자신에게 못되게 굴던 직장동료가 혼나고 있어서 온도가 낮아졌다.
92,manner,순차적으로 생각해봅시다.,해설: 수술 결과가 나쁘다거나 좋다고 말하기 어렵다.,잘못된 해설: 수술 결과에 대해서 말하고 싶지 않다.
93,manner,순차적으로 생각해봅시다.,해설: 책이 안 살 수가 없을 정도로 마음에 든다.,잘못된 해설: 책을 산 것을 후회한다.
94,manner,순차적으로 생각해봅시다.,해설: 상대가 알아듣기 힘든 어려운 용어를 사용하여 대화를 이어가고 싶지 않음을 나타낸다.,잘못된 해설: 음악적 지식을 뽐내고 싶다.
95,manner,순차적으로 생각해봅시다.,해설: 추가 주문을 해야 할 정도로 음식이 맛있다.,잘못된 해설: 추가 주문을 요구 받았다.
96,manner,순차적으로 생각해봅시다.,해설: 회사에 대해 장황하게 설명하면서 구체적인 회사 이름을 말하는 것을 피하고 있다.,잘못된 해설: 자신이 다니는 회사가 자랑스럽다.
97,manner,순차적으로 생각해봅시다.,해설: 자매 관계를 장난스럽게 나타내고 있다.,잘못된 해설: 관계가 먼 사람이다.
98,manner,순차적으로 생각해봅시다.,해설: 눈이 부실 정도로 영희의 새 차가 깨끗하다.,잘못된 해설: 영희의 차의 헤드라이트가 켜져 있다.
99,manner,순차적으로 생각해봅시다.,해설: 나올 수도 있고 안 나올 수도 있다는 것은 시험 문제에 대한 정보로 볼 수 없기 때문에 어떠한 정보도 알려주지 않고 있다.,잘못된 해설: 시험 문제를 아직 출제하지 않았다.
100,manner,순차적으로 생각해봅시다.,해설: 불확실한 시간을 언급해서 애프터 신청을 거절하려는 의미이다.,잘못된 해설: 시간이 될 때 알려주겠다.
101,manner,순차적으로 생각해봅시다.,해설: 아내를 장난스럽게 나타내고 있다.,잘못된 해설: 장모님의 따님이므로 처제를 나타낸다.
102,manner,순차적으로 생각해봅시다.,해설: 기적이 일어나야 할 만큼 상태가 좋지 않다.,잘못된 해설: 기적이 일어나서 상태가 좋아질 것이다.
103,manner,순차적으로 생각해봅시다.,해설: 외계인이 없다는 증거가 없으므로 존재할 가능성이 있다.,잘못된 해설: 외계인은 없지만 말하기에 곤란하다.
104,manner,순차적으로 생각해봅시다.,해설: 영희가 고른 선물을 부모님도 좋아하실 것이므로 걱정하지 않아도 된다.,잘못된 해설: 선물을 싫어할 사람은 없다.
105,manner,순차적으로 생각해봅시다.,해설: 편의점에서 간식을 많이 사서 방에 보관하고 있다.,잘못된 해설: 방에서 편의점을 운영하려고 한다.
106,manner,순차적으로 생각해봅시다.,해설: 방이 마음에 들지 않아서 계약하지 않을 것이다.,잘못된 해설: 생각을 좀 해보고 계약서를 작성할 것이다.
107,manner,순차적으로 생각해봅시다.,해설: 핸드폰 모델 구매를 매우 추천한다.,잘못된 해설: 핸드폰 구매를 추천하지 않으면 큰일난다.
108,manner,순차적으로 생각해봅시다.,해설: 상대 정당의 후보자가 거짓 유세를 했다는 기자의 생각이 맞다.,잘못된 해설: 기자의 생각을 무조건 존중한다.
109,manner,순차적으로 생각해봅시다.,해설: 지금까지 해왔던 것처럼 초록색으로 진행하라는 의미이다.,잘못된 해설: 지금까지 해왔던 것처럼 마음대로 진행하라는 의미이다.
110,manner,순차적으로 생각해봅시다.,"해설: 설거지를 마치지 않았으며, 그 이유를 설명하고 있다.",잘못된 해설: 설거지보다 중요한 일이 있었다.
111,manner,순차적으로 생각해봅시다.,해설: 시계를 구입한 것이 합리적인 선택이라고 설명하고 있다.,잘못된 해설: 김대리가 시계를 사주었다.
112,manner,순차적으로 생각해봅시다.,해설: 중국보다 일본을 더 낫다고 평가한다.,잘못된 해설: 말장난을 하고 있다.
113,manner,순차적으로 생각해봅시다.,해설: 영희에게도 쉽지 않은 난이도이다.,잘못된 해설: 영희에게는 쉽지만 철수에게는 쉽지 않다.
114,manner,순차적으로 생각해봅시다.,해설: 아빠를 장난스럽게 나타내고 있다.,잘못된 해설: 철수의 엄마는 남편이 여러 명 있다.
115,manner,순차적으로 생각해봅시다.,해설: 부정할 수 없기 때문에 어쩔 수 없이 혐의를 인정한다.,잘못된 해설: 부정하지 않아도 무죄이다.
116,manner,순차적으로 생각해봅시다.,해설: 학위 논문 작성이 매우 힘들다.,잘못된 해설: 학위 논문 작성에 대해서 물어보지 않았으면 한다.
117,manner,순차적으로 생각해봅시다.,해설: 영희는 자신의 이름을 철수의 이름보다 앞에 두려고 한다.,잘못된 해설: 철수가 제안한 이름은 스튜디오 이름으로 적절하지 않다.
118,manner,순차적으로 생각해봅시다.,해설: 이미 사실이기 때문에 더 이상 말씀드릴 필요가 없다.,잘못된 해설: 관련된 내용에 대해서 더 이상 말하고 싶지 않다.
119,manner,순차적으로 생각해봅시다.,해설: 부당한 요구를 하더라도 상관이 시키는 일을 해야 한다.,잘못된 해설: 부당한 요구에 대해서 안한다고 말해야 한다.
120,manner,순차적으로 생각해봅시다.,해설: 생선을 갈라서 가시를 발라주겠다는 의미를 재미있게 표현하고 있다.,잘못된 해설: 갈라쇼를 직접 준비해서 보여주겠다.